filename,predicted_class
face_1743481274056.jpg,no yawn
face_1743481277261.jpg,no yawn
face_1743481279175.jpg,yawn
face_1743481280905.jpg,no yawn
face_1743481282506.jpg,no yawn
face_1743481284127.jpg,no yawn
face_1743481285730.jpg,no yawn
face_1743481293532.jpg,no yawn
